CHEM,CAS_Num,MW,MP,Kow,VP,WS,Koc,Biod_class
Titanium dioxide,013463-67-7,79.87,242.69,169.8243652,327000,1634,86.1,not biodegradable
SODIUM ORTHOSILICATE,013472-30-5,184.04,319.8,1.35E-11,1.71E-15,1000000,3.68E-10,not biodegradable
"Guanidine, dodecyl-, monohydrochloride",013590-97-1,263.86,205.39,0.549540874,0.00000011,336300,5.199,not biodegradable
"1,2-Ethanediamine, N-(2-nitro-1-phenylpropyl)-",014762-38-0,223.28,117.11,3.311311215,0.00404,49250,23.25,not biodegradable
Quartz (SiO2),014808-60-7,60.08,158.94,3.388441561,0.00000714,48440,2.881,readily biodegradable
"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",014901-07-6,192.3,52.45,26302.67992,3.03,25.16,1757,not biodegradable
"Phenol, 4-chloro-3-methyl-, sodium salt",015733-22-9,164.57,198.34,1.047128548,0.00000032,62890,12.68,not biodegradable
"2(1H)-Pyridinethione, 1-hydroxy-, sodium salt",015922-78-8,149.14,217.92,0.001905461,1.65E-08,1000000,0.5003,not biodegradable
"2,4-Imidazolidinedione, 1-bromo-3-chloro-5,5-dimethyl-",016079-88-2,241.47,138.82,0.114815362,0.000881,8264,2.341,not biodegradable
"2H-Pyran, tetrahydro-4-methyl-2-(2-methyl-1-propenyl)-",016409-43-1,154.25,-29.92,3801.893963,87.6,63.97,652.7,not biodegradable
Methomyl,016752-77-5,162.21,2.65,4.073802778,3.41,20550,16.27,not biodegradable
"4,7-Methano-1H-inden-6-ol, 3a,4,5,6,7,7a-hexahydro-, propanoate",017511-60-3,206.29,45.26,2187.761624,0.941,57.27,509.3,readily biodegradable
"Benzenepropanal, 4-(1,1-dimethylethyl)-",018127-01-0,190.29,46.3,8709.6359,0.666,21.05,750.2,not biodegradable
"D-Gluconic acid, compd. with N,N' -bis(4-chlorophenyl)-3,12-diimino-2",018472-51-0,701.62,349.84,0.467735141,5.91E-34,65.36,0.2687,not biodegradable
"7-Octen-2-ol, 2,6-dimethyl-",018479-58-8,156.27,-13.1,2951.209227,16.6,252.2,271,not biodegradable
Prallethrin,023031-36-9,300.4,140.52,75857.7575,0.00358,1.788,3457,not biodegradable
"2,4-Hexadienoic acid, potassium salt, (E,E)-",024634-61-5,150.22,173.92,0.006456542,0.00000237,1000000,0.08798,readily biodegradable
"2-Buten-1-one, 1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-, (E)-",024720-09-0,192.3,43.06,19498.446,2.48,10.31,3116,not biodegradable
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",024851-98-7,226.32,73.64,954.992586,0.158,91.72,505.2,readily biodegradable
"Poly(oxy-1,2-ethanediyl), ?tridecyl- -hydroxy-",024938-91-8,420.64,183.82,7762.471166,3.64E-09,3.52,163.1,not biodegradable
"Benzenesulfonic acid, dodecyl-, sodium salt",025155-30-0,348.48,287.63,1000,3.05E-13,134.1,102.1,not biodegradable
"Propanol, oxybis-",025265-71-8,134.18,6.09,0.229086765,0.973,310700,0.4546,readily biodegradable
"Poly(oxy-1,2-ethanediyl), ?hydro- -hydroxy-",025322-68-3,238.28,108.45,0.005011872,0.0000398,1000000,0.02935,readily biodegradable
"Poly[oxy(methyl-1,2-ethanediyl)], ?hydro- -hydroxy-",025322-69-4,308.42,112.61,0.616595002,0.0000095,16540,0.4204,not biodegradable
Phenothrin,026002-80-2,350.46,156.34,34673685.05,0.000256,0.04537,17370,not biodegradable
"2-PROPEN-1-AMINIUM, N,N-DIMETHYL-N-2-PROPENYL C",026062-79-3,161.68,133.02,0.003235937,0.00047,1000000,0.2888,not biodegradable
"3(2H)-Isothiazolone, 5-chloro-2-methyl-",026172-55-4,149.6,68.91,0.45708819,0.72,148700,5.146,not biodegradable
"Octanoic acid, monoester with 1,2,3-propanetriol",026402-26-6,218.3,84.79,51.2861384,0.000311,1229,9.604,readily biodegradable
"3(2H)-Isothiazolone, 5-chloro-2-methyl-, hydrochloride",026530-03-0,186.06,157.9,0.043651583,0.000125,742200,1.404,not biodegradable
"3(2H)-Isothiazolone, 2-octyl-",026530-20-1,213.34,113.04,407.3802778,0.0266,301.8,179.8,not biodegradable
"Benzenesulfonic acid, dodecyl-",027176-87-0,326.5,177.76,60255.95861,1.06E-08,0.7032,3707,not biodegradable
"Benzenesulfonic acid, dodecyl-, potassium salt",027177-77-1,364.59,287.63,1000,3.05E-13,13.93,384.1,not biodegradable
"Benzenesulfonic acid, dodecyl-, compd. with 2,2 ,2  -nitrilotris[etha",027323-41-7,474.68,343.73,70.79457844,1.41E-22,27.1,16.66,readily biodegradable
"1-Octadecanaminium, N,N-dimethyl-N-[3-(trimethoxysilyl)propyl]-, chlo",027668-52-6,496.3,267.26,79432.82347,7.73E-12,0.04992,3534,not biodegradable
"2-Buten-1-ol, 2-ethyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-",028219-61-6,208.35,60.19,138038.4265,0.00958,5.256,2274,not biodegradable
trans-(+)-Allethrin,028434-00-6,302.42,126.18,331131.1215,0.0047,0.9838,5001,not biodegradable
Bromadiolone,028772-56-7,527.42,308.78,10471285.48,1.80E-17,0.001558,8310,not biodegradable
Pirimiphos-methyl,029232-93-7,305.33,89.53,10000,0.00501,2.959,3089,not biodegradable
"Poly(oxy-1,2-ethanediyl), ??,? -1,2,3-propanetriyltris[ -hydroxy-",031694-55-0,770.87,349.84,2.88E-06,2.81E-23,635000,0.0002533,not biodegradable
"Silanediol, dimethyl-, homopolymer",031900-57-9,388.79,44.59,1288249.552,0.000968,0.06153,200700,not biodegradable
"3-Cyclohexene-1-carboxaldehyde, 4-(4-hydroxy-4-methylpentyl)-",031906-04-4,210.32,77.32,2089.296131,0.0114,184.6,132.1,readily biodegradable
"Cyclohexanol, 4-(1,1-dimethylethyl)-, acetate",032210-23-4,198.31,10.93,26302.67992,9.13,3.552,3270,not biodegradable
"Poly(iminocarbonimidoyliminocarbonimidoylimino-1,6-hexanediyl), hydro",032289-58-0,687.35,349.84,7.94E-11,2.21E-26,1000000,0.000007231,not biodegradable
"Ethanone, 1-(2,3,4,7,8,8a-hexahydro-3,6,8,8-tetramethyl-1H-3a,7-metha",032388-55-9,246.4,91.67,104712.8548,0.0764,1.278,7896,not biodegradable
"4H-Inden-4-one, 1,2,3,5,6,7-hexahydro-1,1,2,3,3-pentamethyl-",033704-61-9,206.33,70.77,30902.95433,0.537,5.937,4020,not biodegradable
"Ethanol, 2-(hydroxymethylamino)-",034375-28-5,91.11,17.62,0.006309573,3.07,1000000,0.06946,readily biodegradable
"Propanol, 1(or 2)-(2-methoxymethylethoxy)-",034590-94-8,148.2,-15.51,0.446683592,19.8,493600,1.377,not biodegradable
"Benzoic acid, 4-hydroxy-, ethyl ester, sodium salt",035285-68-8,188.16,212.67,0.141253754,3.66E-08,265600,3.599,readily biodegradable
"Benzamide, N-  (4-chlorophenyl)amino carbonyl -2,6-difluoro-",035367-38-5,310.69,212.45,3890.45145,1.82E-08,5.164,645.8,not biodegradable
"Pentanedinitrile, 2-bromo-2-(bromomethyl)-",035691-65-7,265.94,97.23,42.65795188,0.0332,424,408.4,not biodegradable
"Benzenesulfonic acid, decyl(sulfophenoxy)-, disodium salt",036445-71-3,514.56,349.84,30.90295433,1.36E-18,30.65,56.14,not biodegradable
1-Hexadecanol,036653-82-4,242.45,68.61,5370317.964,0.00119,0.1495,17230,readily biodegradable
Baysan (BAY MEB 6401),038083-17-9,292.77,134.05,5754.399373,0.00044,8.281,4517,not biodegradable
"Urea, N,N  -methylenebis[N -[3-(hydroxymethyl)-2,5-dioxo-4-imidazolid",039236-46-9,388.3,349.84,5.25E-09,7.32E-25,1000000,0.00002089,not biodegradable
Cyphenothrin,039515-40-7,375.47,49.86,3090295.433,0.000073,0.00682,78960,not biodegradable
-,042822-86-6,172.27,46.57,194.98446,0.0638,670.7,23.38,readily biodegradable
"3,5,7-Triaza-1-azoniatricyclo[3.3.1.13,7]decane, 1-(3-chloro-2-propen",051229-78-8,215.71,187,1.20E-06,0.00000174,1000000,0.00233,not biodegradable
SODIUM DICHLOROISOCYANURATE DIHYDRATE,051580-86-0,219.95,276,0.87096359,1.94E-12,38420,7.438,not biodegradable
-,052304-36-6,215.29,81.77,32.35936569,0.0484,1867,44.4,readily biodegradable
Cypermethrin,052315-07-8,416.31,82.07,2398832.919,0.0000174,0.001559,140100,not biodegradable
Permethrin,052645-53-1,391.3,164.97,26915348.04,0.00011,0.009747,32420,not biodegradable
Decamethrin,052918-63-5,505.21,139.52,1513561.248,0.00000116,0.001827,54580,not biodegradable
Empenthrin,054406-48-3,274.41,81.97,1621810.097,0.33,0.08639,19700,not biodegradable
"Ethanone, 1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-naphthal",054464-57-2,234.38,85.76,151356.1248,0.147,1.077,9681,not biodegradable
"1,4-Dioxacyclohexadecane-5,16-dione",054982-83-1,256.35,63.39,16595.86907,0.000326,5.417,1343,readily biodegradable
"Benzenepentanol, G-methyl-",055066-48-3,178.28,37.93,2884.031503,0.0398,202.6,267.6,not biodegradable
"Carbamic acid, butyl-, 3-iodo-2-propynyl ester",055406-53-6,281.09,87.99,281.8382931,0.0616,126.6,150,not biodegradable
"1-Butanol, 3-methoxy-3-methyl-",056539-66-3,118.18,-25.29,2.884031503,103,134600,4.759,readily biodegradable
"2-91H,3H,5H-oxazolo[3,4-c]oxazol-3a(4H)-ylmethyl1-w-hydroxy",056709-13-8,295.29,145.57,0.00042658,0.00000565,1000000,0.008914,not biodegradable
Propiconazole,060207-90-1,342.23,172.86,13489.62883,0.000479,4.592,748.9,not biodegradable
"Castor oil, hydrogenated, ethoxylated",061788-85-0,1153.73,349.84,5.13E+17,1.37E-34,2.16E-17,2060000000,not biodegradable
"Quaternary ammonium compounds, coco alkyltrimethyl, chlorides",061789-18-2,263.9,182.19,16.59586907,0.00000124,1795,32.57,not biodegradable
"Fatty acids, coco, sodium salts",061789-31-9,222.31,216.51,15.48816619,2.04E-08,3244,6.516,readily biodegradable
"1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-coco acyl",061789-40-0,343.53,282.96,4.897788194,6.41E-13,1755,2.659,readily biodegradable
"Quaternary ammonium compounds, benzylcoco alkyldimethyl, chlorides",061789-71-7,340,230.18,851.1380382,2.51E-09,22.47,287.5,not biodegradable
"Quaternary ammonium compounds, dicoco alkyldimethyl, chlorides",061789-77-3,418.2,250.49,4168693.835,1.08E-10,0.005215,31600,readily biodegradable
"Quaternary ammonium compounds, bis(hydrogenated tallow alkyl)dimethyl",061789-80-8,586.52,315.53,3.31E+12,2.55E-12,4.04E-09,57960000,not biodegradable
"Quaternary ammonium compounds, trimethylsoya alkyl, chlorides",061790-41-8,344.03,226.73,5495.408739,4.27E-09,4.332,806.6,not biodegradable
"Amines, coco alkyl, acetates",061790-57-6,245.41,191.05,1445.439771,0.000000954,50.16,264.2,readily biodegradable
"Lanolin, ethoxylated",061790-81-6,606.94,265.3,23442288.15,1.79E-14,0.0002397,13720,not biodegradable
"Ethanol, 2,2'-iminobis-, N-coco alkyl derivs.",061791-31-9,273.46,131.43,7943.282347,0.00000235,83.13,156.3,readily biodegradable
"Onium compounds, morpholinium, 4-ethyl-4-soya alkyl, Et sulfates",061791-34-2,477.75,298.14,10000000,5.65E-14,0.001053,60350,not biodegradable
"Siloxanes and Silicones, di-Me",063148-62-9,310.69,-36.27,144543977.1,64.8,0.002918,13340000,not biodegradable
"2H-Pyran-4-ol, tetrahydro-4-methyl-2-(2-methylpropyl)-",063500-71-0,172.27,24.55,144.5439771,1.59,2773,41.48,not biodegradable
Triflumuron,064628-44-0,358.71,222.17,17378.00829,0.000000018,0.3517,2728,not biodegradable
"1H-Benzotriazole, 4(or 5)-methyl-, sodium salt",064665-57-2,155.14,217.83,1.380384265,1.67E-08,55000,1.322,not biodegradable
"Distillates (petroleum), hydrotreated light",064742-47-8,170.34,-20.85,1698243.652,31.5,0.1099,196700,readily biodegradable
"Naphtha (petroleum), hydrotreated heavy",064742-48-9,128.26,-56.16,57543.99373,661,0.4058,80030,readily biodegradable
"Kerosine (petroleum), hydrodesulfurized",064742-81-0,170.34,-20.85,1698243.652,31.5,0.1099,196700,readily biodegradable
"Solvent naphtha (petroleum), light aliph.",064742-89-8,100.21,-81.01,6025.595861,6120,3.554,11070,readily biodegradable
"Solvent naphtha (petroleum), light arom.",064742-95-6,128.18,5.01,1479.108388,5.38,142.1,730.6,not biodegradable
"Benzoic acid, 2-hydroxy-, 3-hexenyl ester, (Z)-",065405-77-8,220.27,99.52,69183.09709,0.0026,9.518,5052,readily biodegradable
Methoprene isomer,065733-16-6,310.48,53.8,2187761.624,0.0316,0.2142,6473,not biodegradable
alpha-Cypermethrin,067375-30-8,416.31,82.07,2398832.919,0.0000174,0.001559,140100,not biodegradable
Hydramethylnon,067485-29-4,494.49,212.75,323593656.9,7.16E-08,8.271,130.5,not biodegradable
"Acetic acid, (3-methylbutoxy)-, 2-propenyl ester",067634-00-8,186.25,-4.74,218.7761624,19.7,510.7,115.7,readily biodegradable
"Fatty acids, C8-18 and C18-unsatd.",067701-05-7,144.22,48.39,1071.519305,6.51,495.9,69.63,readily biodegradable
"Glycerides, C14-18 mono- and di-",067701-33-1,330.51,149.62,426579.5188,9.51E-08,0.1252,1415,readily biodegradable
"Quaternary ammonium compounds, coco alkyltrimethyl, Me sulfates",068002-60-8,339.54,237.82,4073.802778,7.72E-10,5.906,991.3,not biodegradable
"Alcohols, C10-16, ethoxylated",068002-97-1,334.5,137.45,489.7788194,0.0000015,125.3,43.57,readily biodegradable
"3-Cyclohexene-1-carboxaldehyde, 2,4-dimethyl-",068039-49-6,138.21,-10.07,707.9457844,46.9,311.5,187.2,readily biodegradable
"Alcohols, C12-15, ethoxylated",068131-39-5,406.61,175.92,2511.886432,1.01E-08,11.31,87.36,not biodegradable
"Amides, coco, N-(hydroxyethyl)",068140-00-1,243.39,154.12,1737.800829,0.000000876,43.9,190.6,readily biodegradable
"Alcohols, C10-12, ethoxylated propoxylated",068154-97-2,186.34,-3.92,95499.2586,19.9,2.874,3882,readily biodegradable
"Ethanone, 1-(1,2,3,5,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphtha",068155-66-8,234.38,78.98,51286.1384,0.201,2.725,5320,not biodegradable
"Oils, vegetable, hydrogenated",068334-28-1,891.51,349.84,8.71E+23,2.64E-18,6.53E-21,1.09E+14,not biodegradable
Cyfluthrin,068359-37-5,434.3,92.74,549540.8739,0.0000351,0.008429,39690,not biodegradable
"Quaternary ammonium compounds, benzyl-C12-18-alkyldimethyl,chlorides",068391-01-5,368.05,241.02,8128.305162,4.70E-10,2.203,1002,not biodegradable
"ALKYLBENZENESULFONIC ACID, SODIUM SALT C10-C13",068411-30-3,320.43,276.79,104.7128548,1.71E-12,177,110.3,not biodegradable
"Quaternary ammonium compounds, benzyl-C12-16-alkyldimethyl,chlorides",068424-85-1,368.05,241.02,8128.305162,4.70E-10,2.203,1002,not biodegradable
"Betaines, coco alkyldimethyl",068424-94-2,273.46,221.75,295.1209227,9.17E-09,334,27.22,readily biodegradable
"Quaternary ammonium compounds, di-C8-10-alkyldimethyl, chlorides",068424-95-3,334.03,217.97,4786.300923,1.63E-08,5.608,747.3,readily biodegradable
"Amides, soya, N,N-bis(hydroxyethyl)",068425-47-8,371.61,202.86,676082.9754,1.04E-10,0.04793,1904,readily biodegradable
"Alcohols, C9-11, ethoxylated",068439-46-3,378.55,166.1,263.0267992,32.3,116.2,25.07,readily biodegradable
"Alcohols, C12-14, ethoxylated propoxylated",068439-51-0,214.39,17.75,912010.8394,3.31,0.2995,13530,readily biodegradable
"Sulfonic acids, C14-16-alkane hydroxy and C14-16-alkene, sodium salts",068439-57-6,314.46,264.58,223.8721139,1.18E-11,100,167.9,readily biodegradable
"D-Glucopyranose, oligomeric, decyl octyl glycosides",068515-73-1,482.57,294.95,0.263026799,2.75E-18,2878,0.2624,readily biodegradable
"Alcohols, C12-16, ethoxylated",068551-12-2,214.39,17.75,912010.8394,3.31,0.2995,13530,readily biodegradable
"Alkanes, C10-13-iso-",068551-17-7,154.3,-55.32,204173.7945,1830,0.614,40560,not biodegradable
"Alkanes, C10-14-iso-",068551-18-8,142.29,-55.45,151356.1248,318,0.8985,31280,readily biodegradable
"Alkanes, C12-14-iso-",068551-19-9,184.37,-20.46,4466835.922,36.2,0.03173,590400,readily biodegradable
"Amides, coco, N,N-bis(hydroxyethyl)",068603-42-9,287.45,161.57,776.2471166,0.000000897,49.91,45.02,readily biodegradable
"Oils, orange, sweet, terpene-free",068606-94-0,156.27,-8.09,5754.399373,31.4,43.52,596.5,readily biodegradable
"Imidazolium compounds, 1(or 3)-(carboxymethyl)-4,5-dihydro-1-(hydroxy",068647-53-0,440.47,349.84,5.01E-07,2.59E-29,1000000,0.0001564,readily biodegradable
"Terpenes and Terpenoids, sweet orange-oil",068647-72-3,136.24,-40.76,67608.29754,193,4.581,6324,not biodegradable
"Oils, tea-tree",068647-73-4,154.25,8.14,1348.962883,208,332.1,223.9,not biodegradable
"Quaternary ammonium compounds, C12-18-alkyl[(ethylphenyl)methyl]dimet",068956-79-6,368.05,237.75,6918.309709,7.80E-10,2.546,916.2,not biodegradable
"Glycine, N-(hydroxymethyl)-, monosodium salt",070161-44-3,127.08,198.16,6.46E-07,3.24E-09,1000000,0.0001892,readily biodegradable
"Amines, C10-16-alkyldimethyl, N-oxides",070592-80-2,201.36,152.6,4897.788194,0.0000458,30.35,795.8,readily biodegradable
"Imidazolium compounds, 2-(C17 and C17-unsatd. alkyl)-1-[2-(C18 and C1",072749-55-4,631.11,349.84,8.71E+12,1.41E-19,8.98E-10,93300000,not biodegradable
Imiprothrin,072963-72-5,318.38,198.55,954.992586,0.0000209,31.96,242.2,not biodegradable
Etofenprox,080844-07-1,376.5,178.57,29512092.27,0.0000279,0.004075,70130,not biodegradable
"3-Hepten-2-one, 3,4,5,6,6-pentamethyl-, (Z)-",081786-73-4,182.31,-18.03,15488.16619,47.2,14.27,2744,not biodegradable
Bifenthrin,082657-04-3,422.88,167.36,141253754.5,0.0000522,0.0002407,233100,not biodegradable
Teflubenzuron,083121-18-0,381.12,218.68,43651.58322,1.32E-08,0.5109,1536,not biodegradable
"1-Propanaminium, 3,3',3''-[phosphinylidynetris(oxy)]tris[N-(3-aminopr",083682-78-4,1200.99,90.27,0.000288403,2.74E-09,0.7073,0.008186,not biodegradable
"Alcohols, C12-14-secondary, ethoxylated",084133-50-6,406.61,174.93,2089.296131,1.68E-08,13.07,78.9,not biodegradable
"Quaternary ammonium compounds, benzyl-C12-14-alkyldimethyl,chlorides",085409-22-9,340,230.18,851.1380382,2.51E-09,22.47,287.5,not biodegradable
"2,4-Imidazolidinedione, 1,3-dichloro-5-ethyl-5-methyl-",089415-87-2,211.05,131.08,0.354813389,0.00172,4579,4.369,not biodegradable
LEMONGRASS OIL,089998-16-3,152.24,-26.74,2818.382931,12.2,84.71,401.9,readily biodegradable
Flocoumafen,090035-08-8,542.56,293.76,407380277.8,3.01E-15,0.00001683,184700,not biodegradable
lambda-Cyhalothrin,091465-08-6,449.86,68.66,7079457.844,0.0000849,0.0008533,151200,not biodegradable
"Hydrocarbons, C4, 1,3-butadiene-free, polymd., triisobutylene fractio",093685-81-5,170.34,-54.16,1023292.992,296,0.1301,164300,not biodegradable
Tebuconazole,107534-96-3,307.83,162.86,7762.471166,0.00000614,24.75,429.7,not biodegradable
"4-Penten-2-ol, 3,3-dimethyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)-",107898-54-4,222.37,63.64,245470.8916,0.0166,2.711,3126,not biodegradable
Novaluron,116714-46-6,492.71,229.05,181970.0859,1.21E-08,0.02518,3502,not biodegradable
Transfluthrin,118712-89-3,371.16,104.52,1479108.388,0.0451,0.1002,7579,not biodegradable
Fipronil,120068-37-3,437.15,203.92,4365158.322,0.000000151,0.3743,10040,not biodegradable
CGA 219417 (cyprodinil),121552-61-2,225.3,126.5,9772.37221,0.00531,12.38,3111,not biodegradable
"AC 303,630",122453-73-0,407.62,171.75,323593.6569,0.0000596,0.1119,7912,not biodegradable
Imidacloprid,138261-41-3,255.67,156,3.630780548,0.000225,7172,33.64,not biodegradable
THIAMETHOXAM,153719-23-4,291.71,163.65,6.309573445,0.0000543,2862,23.19,not biodegradable
Dinotefuran,165252-70-0,202.21,92.76,0.645654229,0.0303,150100,4.307,not biodegradable
Spinosad,168316-95-8,734.04,336.91,407380.2778,1.05E-16,0.003399,3542,not biodegradable
DPX-MP062,173584-44-6,527.84,234.7,162181.0097,1.55E-08,0.05066,1823,not biodegradable
Metofluthrin,240494-70-6,360.35,117.18,331131.1215,0.00268,0.1043,6640,not biodegradable
Diethylhexyl-phthalate,000117-81-7,390.56,,,1.2,,,
Toluene,000108-88-3,92.14,,,22,,,
